Date,Hour,Energy_Actual,Energy_Predicted,Energy_LowerBound
2025-05-25,12,630.1,454.99,569.97
2025-05-25,13,577.65,330.79,569.0
2025-05-25,14,390.55,292.49,468.24
2025-05-25,15,182.73,222.74,399.4
2025-05-25,16,167.22,184.77,310.35
2025-05-25,17,117.68,87.48,172.69
2025-05-26,6,11.8,5.01,0.0
2025-05-26,7,112.06,74.08,58.31
2025-05-26,8,116.38,151.82,186.03
2025-05-26,9,106.28,219.09,328.6
2025-05-26,10,239.73,238.57,430.55
2025-05-26,11,535.66,381.2,521.88
2025-05-26,12,670.21,504.69,568.2
2025-05-26,13,543.02,313.33,567.14
2025-05-26,14,465.3,436.46,468.0
2025-05-26,15,357.71,328.0,399.54
2025-05-26,16,191.25,211.82,310.4
2025-05-26,17,65.31,87.56,173.2
2025-05-27,6,22.36,5.05,0.0
2025-05-27,7,89.76,75.08,58.32
2025-05-27,8,207.1,152.0,186.02
2025-05-27,9,306.59,216.04,328.35
2025-05-27,10,224.14,237.5,430.14
2025-05-27,11,393.6,337.5,521.31
2025-05-27,12,571.7,459.7,564.21
2025-05-27,13,532.61,585.53,564.38
2025-05-27,14,331.1,613.59,480.81
2025-05-27,15,503.66,542.59,397.29
2025-05-27,16,307.61,211.68,310.45
2025-05-27,17,98.45,88.17,173.6
2025-05-28,6,17.61,5.08,0.0
2025-05-28,7,116.86,75.97,58.34
2025-05-28,8,214.1,152.1,185.85
2025-05-28,9,301.92,378.38,328.03
2025-05-28,10,341.05,500.98,429.66
2025-05-28,11,557.07,368.15,520.87
2025-05-28,12,651.19,397.21,557.76
2025-05-28,13,475.25,616.2,566.05
2025-05-28,14,300.62,633.96,471.01
2025-05-28,15,168.94,278.11,401.37
2025-05-28,16,145.24,186.4,310.71
2025-05-28,17,98.15,87.78,174.07
2025-05-29,6,24.68,5.18,0.0
2025-05-29,7,123.86,109.85,58.38
2025-05-29,8,201.63,153.03,185.57
2025-05-29,9,287.82,371.89,327.69
2025-05-29,10,346.38,479.38,429.29
2025-05-29,11,521.61,520.08,520.85
2025-05-29,12,550.68,543.18,550.66
2025-05-29,13,296.94,659.19,563.18
2025-05-29,14,230.45,452.1,467.27
2025-05-29,15,256.99,334.87,400.09
2025-05-29,16,221.43,191.67,299.05
2025-05-29,17,58.19,88.54,173.95
2025-05-30,6,12.77,5.11,0.0
2025-05-30,7,77.35,76.55,58.47
2025-05-30,8,126.71,269.35,185.63
2025-05-30,9,125.13,341.64,327.45
2025-05-30,10,191.41,477.54,430.63
2025-05-30,11,240.11,481.07,520.97
2025-05-30,12,305.68,381.8,553.2
2025-05-30,13,396.73,588.29,565.35
2025-05-30,14,366.79,519.57,466.76
2025-05-30,15,350.55,355.07,400.04
2025-05-30,16,294.54,184.93,310.72
2025-05-30,17,105.65,88.74,174.93
2025-05-31,6,16.89,5.11,0.0
2025-05-31,7,113.25,77.25,58.15
2025-05-31,8,210.94,153.21,185.09
2025-05-31,9,369.8,217.48,327.03
2025-05-31,10,439.33,237.87,428.49
2025-05-31,11,612.57,333.27,518.84
2025-05-31,12,692.88,423.9,567.38
2025-05-31,13,762.49,298.65,570.84
2025-05-31,14,626.56,288.64,466.55
2025-05-31,15,399.45,225.68,400.19
2025-05-31,16,322.61,185.51,310.84
2025-05-31,17,193.0,88.82,175.45
2025-06-01,6,26.65,3.26,0.0
2025-06-01,7,119.11,83.18,40.71
2025-06-01,8,351.85,160.1,176.51
2025-06-01,9,510.73,172.63,301.87
2025-06-01,10,561.51,240.43,428.48
2025-06-01,11,771.0,454.96,488.69
2025-06-01,12,918.77,390.16,521.35
2025-06-01,13,862.15,264.33,506.68
2025-06-01,14,670.42,548.87,463.56
2025-06-01,15,620.53,505.75,385.0
2025-06-01,16,389.87,243.02,273.48
2025-06-01,17,237.48,159.49,147.99
2025-06-02,6,14.19,2.92,0.0
2025-06-02,7,106.41,57.85,39.02
2025-06-02,8,394.13,235.8,172.11
2025-06-02,9,611.4,399.53,300.7
2025-06-02,10,661.24,447.69,417.64
2025-06-02,11,735.17,588.51,457.25
2025-06-02,12,693.5,590.57,514.28
2025-06-02,13,702.51,580.58,538.27
2025-06-02,14,620.21,559.02,497.49
2025-06-02,15,613.94,515.78,390.42
2025-06-02,16,312.82,270.84,276.19
2025-06-02,17,43.93,82.71,151.58
